firstname,lastname,gender,year_of_birth,age,zip,city,country,party_short,district,incumbent,LINK_personal_website,LINK_facebook,LINK_Twitter,LINK_Instagram
Norbert,Feldmann,m,1966,53,9240,Uzwil,Schweiz,BDP,St.Gallen,0,NA,https://www.facebook.com/norbert.feldmann.9,NA,NA
Giovanni,Merlini,m,1962,57,6648,Minusio,Schweiz,FDP,Tessin,0,http://www.giovannimerlini.ch,http://www.facebook.com/giomerlini,NA,NA
Greta,Gysin,f,1983,36,8057,Zurigo,Schweiz,Grüne,Tessin,0,http://www.gretagysin.ch,http://www.facebook.com/greta.gysin,NA,NA
Josef,Dittli,m,1957,62,6468,Attinghausen,Schweiz,FDP,Uri,1,NA,https://www.facebook.com/JosefDittli.Uri/,NA,NA
Monique,Frey,f,1965,54,6032,Emmen,Schweiz,Grüne,Luzern,0,http://moniquefrey.ch,https://www.facebook.com/monique.frey.18,NA,NA
Bernard,Borel,f,1952,67,1860,Aigle,Schweiz,PdA,Waadt,0,NA,https://www.facebook.com/Bernard-Borel-2256611131244501/,NA,NA
Marc,Wuarin,m,1994,25,1224,Chêne-Bougeries,Schweiz,glp,Genf,0,NA,https://www.facebook.com/marc.wuarin.5,NA,NA
Heidi,Zgraggen,f,1966,53,6472,Erstfeld,Schweiz,CVP,Uri,0,http://www.heidi.zgraggen.ch,https://www.facebook.com/heidi.zgraggen,NA,NA
Magali,Junod,f,1982,37,2024,St-Aubin-Sauges,Schweiz,SVP,Neuenburg,0,NA,https://www.facebook.com/magali.junod,NA,https://www.instagram.com/junod.magali/
Alexander,Eniline,m,1990,29,1246,Corsier,Schweiz,PdA,Genf,0,http://voix-du-proletariat.blogspot.com,https://www.facebook.com/alexander.eniline,NA,NA
Mathias,Zopfi,m,1983,36,8765,Engi,Schweiz,Grüne,Glarus,0,http://www.mathiaszopfi.ch,https://www.facebook.com/zopfi.mathias/,NA,NA
Florian,Baier,m,1980,39,1213,Lancy,Schweiz,EVP,Genf,0,NA,https://www.facebook.com/florian.baier.71404,NA,NA
Willy,Cretegny,m,1957,62,1242,Satigny,Schweiz,PM,Genf,0,NA,https://www.facebook.com/cretegnywilly/,NA,NA
Anthony,Jaria,m,1980,39,1727,Corpataux,Schweiz,BDP,Freiburg,0,https://www.bdp.info/fr/,https://www.facebook.com/anthony.jaria,NA,NA
Yvan,Luccarini,m,1970,49,1800,vevey,Schweiz,EàG,Waadt,0,http://www.ensemble-a-gauche.ch,https://www.facebook.com/yvan.luccarini,NA,NA
Zoé,Bachmann,f,1989,30,2000,Neuchâtel,Schweiz,solid.,Neuenburg,0,NA,NA,NA,NA
Dimitri,Paratte,m,1988,31,2000,Neuchâtel,Schweiz,solid.,Neuenburg,0,NA,https://www.facebook.com/dimitri.paratte,NA,NA
André,Leitner,m,1969,50,1227,Carouge,Schweiz,BDP,Genf,0,NA,https://www.facebook.com/andre.leitner,NA,NA
Thierry,Vidonne,m,1966,53,1248,Hermance,Schweiz,BDP,Genf,0,NA,https://www.facebook.com/thierry.vidonne.73,NA,NA
Jan,Linhart,m,1991,28,8803,Rüschlikon,Schweiz,Parteilos,Zürich,0,https://janlinhart5.wixsite.com/website,https://www.facebook.com/jazujanzh/,NA,NA
Peter,Eberhart,m,1955,64,3703,Aeschi,Schweiz,DU,Bern,0,NA,NA,NA,NA
Florian,Gerber,m,1989,30,4932,Lotzwil,Schweiz,PNOS,Bern,0,NA,https://www.facebook.com/florian.gruber.581,NA,NA
Joe,Grin,m,1980,39,3000,Bern,Schweiz,DM,Bern,0,NA,https://www.facebook.com/joegrin,NA,NA
Reto,Sonderegger,m,1976,43,9100,Herisau,Schweiz,Parteilos,Appenzell Ausserrhoden,0,NA,https://www.facebook.com/strangecorner,NA,NA
Werner,Nussbaumer,m,1948,71,6929,Gravesano,Schweiz,LV,Tessin,0,NA,NA,NA,NA
Battista,Ghiggia,m,1963,56,6949,Comano,Schweiz,Lega,Tessin,0,NA,https://www.facebook.com/Battista-Ghiggia-484829728358636/,NA,https://www.instagram.com/ghiggiabattista/
Annick,Tiburzio,f,1959,60,1006,Lausanne,Schweiz,DDSN,Waadt,0,NA,NA,NA,NA
Olivier,Pahud,m,1972,47,1261,Le Vaud,Schweiz,DDSN,Waadt,0,NA,NA,NA,NA
